REGION,COAST,COAST,COAST,EAST,EAST,EAST,FWEST,FWEST,FWEST,NCENT,NCENT,NCENT,NORTH,NORTH,NORTH,SCENT,SCENT,SCENT,SOUTH,SOUTH,SOUTH,WEST,WEST,WEST
INDICATOR,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load
DATE,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-02 10:00:00,24.6,605.1600000000001,11121.0981717,17.03333333333333,290.1344444444444,1142.9886266,9.15,83.72250000000001,2168.123736,16.52,272.9104,10062.5851018,12.2,148.83999999999997,672.9018277000001,15.855555555555556,251.39864197530866,5202.0929276,26.85,720.9225000000001,3121.5611727,9.25,85.5625,992.0959654
2017-04-02 11:00:00,25.3,640.09,11508.1072563,17.6,309.76000000000005,1168.4241614,9.15,83.72250000000001,2172.7155896,16.400000000000002,268.9600000000001,10312.0242355,12.199999999999998,148.83999999999995,679.2839776000002,15.9,252.81,5232.6098921,27.75,770.0625,3347.641311300001,9.166666666666666,84.02777777777777,1004.0197442
2017-04-02 12:00:00,26.5,702.25,11868.766377,17.833333333333332,318.0277777777777,1164.7759170999998,8.9,79.21000000000001,2177.5964048,16.25,264.0625,10437.1171805,12.439999999999998,154.75359999999995,679.4265148,17.75,315.0625,5343.4156948,31.1,967.21,3597.5996895000007,10.0,100.0,1009.5157771
2017-04-02 13:00:00,25.55,652.8025,12147.8957991,16.685714285714287,278.4130612244898,1140.3369849,9.22,85.00840000000001,2182.6400399,16.3,265.69,10325.7261188,13.333333333333336,177.77777777777783,674.9676442000001,20.55,422.3025,5600.3033594,31.4,985.9599999999999,3835.9028375,10.0,100.0,1010.8016172
2017-04-02 14:00:00,21.5,462.25,11973.627009,16.7,278.89,1146.0523211,10.0,100.0,2179.3216504,19.15,366.72249999999997,10205.1231025,14.4,207.36,668.5700109,24.4,595.3599999999999,5895.0119564,32.8,1075.84,4033.3874781,10.25,105.0625,1011.642969
2017-04-02 15:00:00,25.0,625.0,12012.3807966,18.033333333333328,325.2011111111109,1166.9391545,10.0,100.0,2178.6015034,21.7,470.89,10260.7315006,14.7,216.08999999999997,667.8013612000002,25.6,655.3600000000001,6189.678714,31.1,967.21,4152.5516219,11.1,123.21,1019.0427091
2017-04-02 16:00:00,25.0,625.0,12198.2423282,19.433333333333334,377.65444444444444,1205.5361821,12.2,148.83999999999997,2169.6986323,21.5,462.25,10465.3012121,14.4,207.36,676.4281591,25.6,655.3600000000001,6500.9686365,31.7,1004.89,4210.7577452,11.0,121.0,1030.0444
2017-04-02 17:00:00,24.4,595.3599999999999,12079.3313792,20.6,424.36000000000007,1237.6957596,13.9,193.21,2165.4039695,19.4,376.35999999999996,10651.769722799998,14.266666666666666,203.53777777777776,693.640122,25.0,625.0,6661.341839899998,33.3,1108.8899999999999,4188.4743391,11.04,121.88159999999998,1043.6090226
2017-04-02 18:00:00,23.3,542.89,11904.4510994,20.0,400.0,1263.3167605,13.9,193.21,2149.4247798,18.866666666666664,355.951111111111,10742.1882878,13.6,184.95999999999998,697.5848768,23.3,542.89,6624.7355252,31.1,967.21,4050.8110877,11.0,121.0,1044.6955755
2017-04-02 19:00:00,23.3,542.89,11927.086963,17.8,316.84000000000003,1235.4416226,13.6,184.95999999999998,2149.7144635,18.133333333333336,328.8177777777779,10893.0751346,12.94,167.44359999999998,713.2769588,21.15,447.32249999999993,6384.2901853,29.15,849.7225,3879.0657735,10.925,119.35562500000002,1064.3163282
